	JPM
2008-01-02	38.47
2008-01-03	38.2
2008-01-04	37.33
2008-01-07	37.71
2008-01-08	36.21
2008-01-09	36.72
2008-01-10	37.7
2008-01-11	37.27
2008-01-14	37.73
2008-01-15	35.73
2008-01-16	37.79
2008-01-17	36.52
2008-01-18	36.11
2008-01-22	37.27
2008-01-23	41.7
2008-01-24	41.01
2008-01-25	39.81
2008-01-28	41.57
2008-01-29	43.28
2008-01-30	43.19
2008-01-31	43.24
2008-02-01	44.01
2008-02-04	42.16
2008-02-05	40.03
2008-02-06	39.88
2008-02-07	41.15
2008-02-08	39.97
2008-02-11	39.54
2008-02-12	39.51
2008-02-13	40.23
2008-02-14	38.87
2008-02-15	39.45
2008-02-19	39.07
2008-02-20	39.36
2008-02-21	39.29
2008-02-22	40.07
2008-02-25	40.16
2008-02-26	39.88
2008-02-27	40.51
2008-02-28	38.71
2008-02-29	37.08
2008-03-03	36.32
2008-03-04	35.75
2008-03-05	35.34
2008-03-06	34.09
2008-03-07	34.26
2008-03-10	33.28
2008-03-11	35.43
2008-03-12	35.22
2008-03-13	34.76
2008-03-14	33.33
2008-03-17	36.77
2008-03-18	38.96
2008-03-19	38.74
2008-03-20	41.93
2008-03-24	42.46
2008-03-25	42.01
2008-03-26	40.24
2008-03-27	39.1
2008-03-28	38.96
2008-03-31	39.18
2008-04-01	42.87
2008-04-02	42.52
2008-04-03	42.56
2008-04-04	41.91
2008-04-07	41.88
2008-04-08	41.25
2008-04-09	40.74
2008-04-10	40.33
2008-04-11	39.11
2008-04-14	38.16
2008-04-15	38.73
2008-04-16	41.34
2008-04-17	41.49
2008-04-18	42.08
2008-04-21	41.59
2008-04-22	41.98
2008-04-23	41.52
2008-04-24	43.19
2008-04-25	43.95
2008-04-28	43.53
2008-04-29	43.29
2008-04-30	43.82
2008-05-01	45.29
2008-05-02	44.75
2008-05-05	44.14
2008-05-06	44.32
2008-05-07	42.83
2008-05-08	42.35
2008-05-09	42.83
2008-05-12	43.44
2008-05-13	41.82
2008-05-14	42.22
2008-05-15	43.24
2008-05-16	42.79
2008-05-19	42.29
2008-05-20	40.19
2008-05-21	39.01
2008-05-22	39.59
2008-05-23	38.92
2008-05-27	39.55
2008-05-28	39.41
2008-05-29	40.07
2008-05-30	39.54
2008-06-02	38.76
2008-06-03	38.52
2008-06-04	38.28
2008-06-05	38.71
2008-06-06	36.87
2008-06-09	34.49
2008-06-10	35.21
2008-06-11	34.14
2008-06-12	34.95
2008-06-13	36.4
2008-06-16	36.73
2008-06-17	35.9
2008-06-18	35.63
2008-06-19	35.54
2008-06-20	34.82
2008-06-23	33.91
2008-06-24	34.69
2008-06-25	34.86
2008-06-26	33.4
2008-06-27	32.23
2008-06-30	31.55
2008-07-01	31.63
2008-07-02	32.17
2008-07-03	32.83
2008-07-07	31.65
2008-07-08	33.26
2008-07-09	31.88
2008-07-10	32.09
2008-07-11	30.84
2008-07-14	29.47
2008-07-15	28.85
2008-07-16	33.42
2008-07-17	37.94
2008-07-18	37.21
2008-07-21	35.94
2008-07-22	38.0
2008-07-23	39.02
2008-07-24	36.4
2008-07-25	36.75
2008-07-28	35.02
2008-07-29	37.89
2008-07-30	38.66
2008-07-31	37.78
2008-08-01	37.9
