	EMA9X21
2010-01-04	0.0
2010-01-05	0.08727272727273316
2010-01-06	0.17315702479340445
2010-01-07	0.3230154770849083
2010-01-08	0.41522134280446465
2010-01-11	0.45945794800406503
2010-01-12	0.3741853345491535
2010-01-13	0.38500188231741106
2010-01-14	0.4316866101067447
2010-01-15	0.35306301922431516
2010-01-19	0.24691744368755764
2010-01-20	0.17832216250287303
2010-01-21	-0.17262571767695079
2010-01-22	-0.5687218902136095
2010-01-25	-0.8409968904181966
2010-01-26	-1.1033605834684792
2010-01-27	-1.1813821678056229
2010-01-28	-1.2013727351816215
2010-01-29	-1.2507954617245005
2010-02-01	-1.1919975271788772
2010-02-02	-1.031562710651528
2010-02-03	-0.9233998857107082
2010-02-04	-1.0297651060135564
2010-02-05	-1.0938531733971928
2010-02-08	-1.1827562556144287
2010-02-09	-1.1539083834885275
2010-02-10	-1.0617661422426181
2010-02-11	-0.96017603693209
2010-02-12	-0.8764709414893019
2010-02-16	-0.682931400412933
2010-02-17	-0.5330311632589684
2010-02-18	-0.375048605996831
2010-02-19	-0.2936967715153358
2010-02-22	-0.14301004150123475
2010-02-23	-0.13227405528186864
2010-02-24	-0.020606537026296223
2010-02-25	0.039162686014599046
2010-02-26	0.2193737084804397
2010-03-01	0.3322658392104998
2010-03-02	0.38650982811944345
2010-03-03	0.40911436863286355
2010-03-04	0.45957013684930104
2010-03-05	0.5806366930639939
2010-03-08	0.6352189758916964
2010-03-09	0.6448202911138168
2010-03-10	0.6935336059823811
2010-03-11	0.7425335875961991
2010-03-12	0.7613965999045007
2010-03-15	0.7525443070395497
2010-03-16	0.7509691066461386
2010-03-17	0.792896795330094
2010-03-18	0.7937006271851459
2010-03-19	0.7602179480400011
2010-03-22	0.7514993096064444
2010-03-23	0.8187675851164613
2010-03-24	0.8909851021216326
2010-03-25	0.9273072035413605
2010-03-26	0.9444995099640465
2010-03-29	0.9234666508175664
2010-03-30	0.8619251777870858
2010-03-31	0.8200418305324177
2010-04-01	0.8237622719738908
2010-04-05	0.8289450971681731
2010-04-06	0.8689154228155047
2010-04-07	0.8287317428714545
2010-04-08	0.8302575803144876
2010-04-09	0.8391807788127892
2010-04-12	0.8467761817422357
2010-04-13	0.8085405442046962
2010-04-14	0.9602138888282283
2010-04-15	1.061790614212093
2010-04-16	0.8807229487783275
2010-04-19	0.71556968393962
2010-04-20	0.6337205879852945
2010-04-21	0.5081263256915065
2010-04-22	0.34318274719254305
2010-04-23	0.2388022765170703
2010-04-26	0.048365529180045996
2010-04-27	-0.24483147850468612
2010-04-28	-0.3445232753935059
2010-04-29	-0.3540350681236717
2010-04-30	-0.5028793706888166
2010-05-03	-0.5027137839963984
2010-05-04	-0.6036349248747044
2010-05-05	-0.6496933014248398
