	JPM
2010-01-04	40.87
2010-01-05	41.67
2010-01-06	41.89
2010-01-07	42.72
2010-01-08	42.62
2010-01-11	42.48
2010-01-12	41.48
2010-01-13	42.21
2010-01-14	42.63
2010-01-15	41.67
2010-01-19	41.28
2010-01-20	41.4
2010-01-21	38.67
2010-01-22	37.35
2010-01-25	37.4
2010-01-26	36.67
2010-01-27	37.52
2010-01-28	37.66
2010-01-29	37.14
2010-02-01	37.8
2010-02-02	38.68
2010-02-03	38.43
2010-02-04	36.58
2010-02-05	36.53
2010-02-08	35.96
2010-02-09	36.62
2010-02-10	37.08
2010-02-11	37.22
2010-02-12	37.15
2010-02-16	38.22
2010-02-17	38.19
2010-02-18	38.55
2010-02-19	38.18
2010-02-22	38.97
2010-02-23	38.04
2010-02-24	38.97
2010-02-25	38.77
2010-02-26	40.03
2010-03-01	39.9
2010-03-02	39.7
2010-03-03	39.61
2010-03-04	39.99
2010-03-05	40.84
2010-03-08	40.63
2010-03-09	40.46
2010-03-10	40.95
2010-03-11	41.19
2010-03-12	41.16
2010-03-15	41.08
2010-03-16	41.25
2010-03-17	41.77
2010-03-18	41.63
2010-03-19	41.45
2010-03-22	41.72
2010-03-23	42.52
2010-03-24	42.87
2010-03-25	42.87
2010-03-26	42.94
2010-03-29	42.79
2010-03-30	42.52
2010-03-31	42.69
2010-04-01	43.14
2010-04-05	43.3
2010-04-06	43.77
2010-04-07	43.28
2010-04-08	43.7
2010-04-09	43.91
2010-04-12	44.06
2010-04-13	43.8
2010-04-14	45.58
2010-04-15	45.66
2010-04-16	43.5
2010-04-19	43.34
2010-04-20	43.81
2010-04-21	43.31
2010-04-22	42.72
2010-04-23	42.92
2010-04-26	41.91
2010-04-27	40.5
2010-04-28	41.5
2010-04-29	42.02
2010-04-30	40.66
2010-05-03	41.57
2010-05-04	40.56
2010-05-05	40.71
2010-05-06	38.97
2010-05-07	38.92
2010-05-10	40.06
2010-05-11	39.68
2010-05-12	39.81
2010-05-13	38.97
2010-05-14	38.09
2010-05-17	38.04
2010-05-18	37.26
2010-05-19	37.61
2010-05-20	36.13
2010-05-21	38.25
2010-05-24	36.88
2010-05-25	37.19
2010-05-26	37.03
2010-05-27	38.6
2010-05-28	37.8
2010-06-01	36.8
2010-06-02	37.77
2010-06-03	37.34
2010-06-04	35.93
2010-06-07	35.07
2010-06-08	36.08
2010-06-09	35.45
2010-06-10	36.56
2010-06-11	36.37
2010-06-14	35.65
2010-06-15	36.53
2010-06-16	36.78
2010-06-17	36.71
2010-06-18	37.41
2010-06-21	37.12
2010-06-22	36.6
2010-06-23	37.14
2010-06-24	36.32
2010-06-25	37.66
2010-06-28	36.8
2010-06-29	35.39
2010-06-30	34.96
2010-07-01	34.5
2010-07-02	34.26
2010-07-06	34.74
2010-07-07	36.48
2010-07-08	36.49
2010-07-09	37.15
2010-07-12	37.48
2010-07-13	38.71
2010-07-14	38.58
2010-07-15	38.69
2010-07-16	37.29
2010-07-19	37.33
2010-07-20	37.9
2010-07-21	36.74
2010-07-22	37.63
2010-07-23	38.09
2010-07-26	38.57
2010-07-27	38.91
2010-07-28	38.56
2010-07-29	38.45
2010-07-30	38.52
2010-08-02	39.82
2010-08-03	39.28
2010-08-04	39.48
2010-08-05	39.46
2010-08-06	38.67
2010-08-09	38.08
2010-08-10	37.46
2010-08-11	36.12
2010-08-12	36.16
2010-08-13	35.86
2010-08-16	36.04
2010-08-17	35.84
2010-08-18	36.23
2010-08-19	35.45
2010-08-20	35.52
2010-08-23	35.27
2010-08-24	34.63
2010-08-25	34.64
2010-08-26	34.07
2010-08-27	35.0
2010-08-30	34.28
2010-08-31	34.77
2010-09-01	36.09
2010-09-02	36.49
2010-09-03	37.46
2010-09-07	36.61
2010-09-08	37.41
2010-09-09	38.35
2010-09-10	38.02
2010-09-13	39.32
2010-09-14	38.94
2010-09-15	39.19
2010-09-16	39.2
2010-09-17	38.31
2010-09-20	39.39
2010-09-21	38.81
2010-09-22	38.19
2010-09-23	37.39
2010-09-24	38.01
2010-09-27	37.37
2010-09-28	37.25
2010-09-29	36.73
2010-09-30	36.39
2010-10-01	37.11
2010-10-04	37.29
2010-10-05	37.95
2010-10-06	38.2
2010-10-07	37.84
2010-10-08	37.64
2010-10-11	38.04
2010-10-12	38.68
2010-10-13	38.15
2010-10-14	37.07
2010-10-15	35.57
2010-10-18	36.58
2010-10-19	36.09
2010-10-20	36.48
2010-10-21	36.1
2010-10-22	36.1
2010-10-25	35.49
2010-10-26	35.62
2010-10-27	35.94
2010-10-28	35.92
2010-10-29	36.03
2010-11-01	35.83
2010-11-02	35.39
2010-11-03	36.12
2010-11-04	38.11
2010-11-05	39.2
2010-11-08	38.79
2010-11-09	38.2
2010-11-10	38.89
2010-11-11	38.32
2010-11-12	37.93
2010-11-15	38.38
2010-11-16	37.93
2010-11-17	37.51
2010-11-18	37.97
2010-11-19	37.73
2010-11-22	36.87
2010-11-23	36.03
2010-11-24	36.54
2010-11-26	35.91
2010-11-29	36.3
2010-11-30	35.81
2010-12-01	36.53
2010-12-02	37.64
2010-12-03	37.93
2010-12-06	38.2
2010-12-07	37.58
2010-12-08	38.55
2010-12-09	39.07
2010-12-10	39.67
2010-12-13	39.75
2010-12-14	39.06
2010-12-15	38.5
2010-12-16	38.31
2010-12-17	37.98
2010-12-20	38.25
2010-12-21	39.26
2010-12-22	40.37
2010-12-23	40.29
2010-12-27	40.86
2010-12-28	40.8
2010-12-29	40.56
2010-12-30	40.43
2010-12-31	40.62
2011-01-03	41.73
2011-01-04	42.33
2011-01-05	42.85
2011-01-06	42.64
2011-01-07	41.83
2011-01-10	41.6
2011-01-11	41.79
2011-01-12	42.86
2011-01-13	42.61
2011-01-14	43.05
2011-01-18	42.9
2011-01-19	41.9
2011-01-20	42.9
2011-01-21	43.41
2011-01-24	43.16
2011-01-25	43.01
2011-01-26	43.12
2011-01-27	43.23
2011-01-28	42.7
2011-01-31	43.08
2011-02-01	44.03
2011-02-02	43.57
2011-02-03	43.58
2011-02-04	42.74
2011-02-07	43.62
2011-02-08	43.85
2011-02-09	43.24
2011-02-10	43.64
2011-02-11	44.64
2011-02-14	44.61
2011-02-15	44.88
2011-02-16	45.95
2011-02-17	45.84
2011-02-18	46.01
