Date	JPM
2010-02-02	-1000
2010-02-04	1000
2010-02-10	-1000
2010-02-12	1000
2010-04-16	1000
2010-04-19	-1000
2010-05-21	-1000
2010-05-24	1000
2010-07-07	-1000
2010-07-08	1000
2010-07-16	1000
2010-07-20	-1000
2010-07-21	1000
2010-07-23	-1000
2010-07-29	1000
2010-08-02	-1000
2010-08-06	1000
2010-08-09	-1000
2010-09-01	-1000
2010-09-02	1000
2010-09-22	1000
2010-09-24	-1000
2010-10-04	-1000
2010-10-06	1000
2010-10-13	1000
2010-10-14	-1000
2010-10-29	-1000
2010-11-01	1000
2010-11-03	-1000
2010-11-04	1000
2010-11-16	1000
2010-11-22	-1000
2010-11-24	-1000
2010-11-26	1000
2010-12-02	-1000
2010-12-03	1000
2010-12-06	1000
2010-12-08	-1000
2010-12-15	1000
2010-12-21	-1000
2011-02-22	1000
2011-02-23	-1000
2011-03-18	-1000
2011-03-25	1000
2011-03-28	1000
2011-03-30	-1000
2011-03-31	1000
2011-04-01	-1000
2011-04-12	1000
2011-04-14	-1000
2011-04-26	-1000
2011-04-29	1000
2011-05-09	-1000
2011-05-11	1000
2011-05-31	-1000
2011-06-01	1000
2011-06-13	-1000
2011-06-14	1000
2011-07-27	1000
2011-08-02	-1000
2011-08-03	-1000
2011-08-04	1000
2011-08-17	-1000
2011-08-18	1000
2011-08-24	-1000
2011-08-25	1000
2011-09-15	-1000
2011-09-19	1000
2011-09-26	-1000
2011-09-28	1000
2011-10-04	-1000
2011-10-05	1000
2011-11-01	1000
2011-11-08	-1000
2011-11-30	-1000
2011-12-02	1000
2011-12-08	1000
2011-12-09	-1000
2011-12-12	1000
2011-12-19	-2000
2011-12-20	1000
2011-12-21	1000
2011-12-22	-1000
2011-12-27	1000
2011-12-29	-1000
2011-12-30	1000
